Description,epoch,train_loss,train_accuracy,test_accuracy
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",47,2.0824201095104216,18.8,14.399999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",48,2.0633875620365143,18.6,14.7
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",49,2.083797900676727,18.9,14.6
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",50,2.0651805114746096,18.4,13.8
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",51,2.03479128241539,19.2,14.499999999999998
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",52,2.0456509554386137,19.3,14.6
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",53,2.043222892284393,19.3,14.6
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",54,2.044694799184799,19.2,14.399999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",55,2.0517175900936127,19.3,14.499999999999998
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",56,2.038254820108414,19.3,14.6
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",57,2.0408513569831848,19.3,14.499999999999998
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",58,2.036889579296112,19.3,14.6
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",59,2.0493488550186156,19.3,14.7
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",60,2.0370319724082946,19.3,14.499999999999998
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",61,2.0446825003623963,19.3,14.399999999999999
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",62,2.0471065402030946,19.3,14.499999999999998
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",63,2.0371796917915344,19.3,14.499999999999998
"Optimizer: RMSProp, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",64,2.0442285537719727,19.3,14.499999999999998
